adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,,52000,"[{'id': 18, 'name': 'Drama'}]",,1096978,tt0497595,"['FR', 'ES']",es,Avatar,Tension mounts between a quadraplegic man and his wife as she prepares a bath for him.,1.5451,/gmnD2e1RvMdCl9D1rsDEQaQlJxK.jpg,"[{'id': 50092, 'logo_path': None, 'name': 'Just Films', 'origin_country': ''}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2006-04-11,0,15,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,A bizarre love story...,Avatar,False,5.9,59
False,/wEjFjWu5yiHk6U5YV9kSnwdWwNO.jpg,"{'id': 1310060, 'name': 'Avatara Purusha Collection', 'poster_path': None, 'backdrop_path': None}",0,"[{'id': 53, 'name': 'Thriller'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",,677528,tt11651768,['IN'],kn,ಅವತಾರ ಪುರುಷ: Part 1,"When a son of an Ayurveda scholar goes missing, he blames his sister and cuts all ties with her. When the latter's daughter decides to set things right with a devious plan, there seems to be more trouble waiting for the family.",0.7213,/gQ29E9Qy6z5ExsxnpgUTHfpZFO3.jpg,[],"[{'iso_3166_1': 'IN', 'name': 'India'}]",2022-05-06,0,131,"[{'english_name': 'Kannada', 'iso_639_1': 'kn', 'name': '?????'}]",Released,Astadigbandanamadalakam,Avatara Purusha: Part 1,False,5.0,22
False,/vL5LR6WdxWPjLPFRLe133jXWsh5.jpg,"{'id': 87096, 'name': 'Avatar Collection', 'poster_path': '/3C5brXxnBxfkeKWwA1Fh4xvy4wr.jpg', 'backdrop_path': '/6qkJLRCZp9Y3ovXti5tSuhH0DpO.jpg'}",237000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.avatar.com/movies/avatar,19995,tt0499549,['US'],en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",29.6746,/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,"[{'id': 444, 'logo_path': None, 'name': 'Dune Entertainment', 'origin_country': 'US'}, {'id': 574, 'logo_path': '/8wdmrfGcDx3TJxYiiDksLzAW4pB.png', 'name': 'Lightstorm Entertainment', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 133789, 'logo_path': '/bJdeIb1ET3BkyodAASVDq1x3mls.png', 'name': 'Ingenious Film Partners', 'origin_country': 'GB'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2009-12-16,2923706026,162,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,Enter the world of Pandora.,Avatar,False,7.6,33595
False,/gO81IsgrhwUS6aChXCjnjFKUS3S.jpg,,0,"[{'id': 27, 'name': 'Horror'}]",,282908,tt1775309,['JP'],ja,アバター,"Michiko lost her dad in a car accident when she was 10 years old. After the car accident, Michiko has lived with her mother Kyoko. Michiko, now in her 2nd year of high school, gets a cell phone from her mother as a birthday present. Michiko is so excited to have her very first cell phone. Soon afterwards, she is forced into joining social networking site ""AvaQ"" by classmate, and queen of the classroom, Taeko.",2.9721,/itpOoQ9aoY1ZdZFPhYwPSvY9Dt0.jpg,"[{'id': 133153, 'logo_path': None, 'name': 'Taiwan Film Center', 'origin_country': 'TW'}, {'id': 62219, 'logo_path': None, 'name': 'Music Cinemas Japan (MCS)', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2011-04-30,0,93,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Avatar,False,5.371,31
False,/r5Au1g6UQXXNl9hqwMFwOCIBlwB.jpg,"{'id': 803526, 'name': 'Super Sentai Collection', 'poster_path': '/bHLoxIn669Cy8OmACTGZfpSvxBo.jpg', 'backdrop_path': '/vrEC5q3VxEDhnyJCmtk3fxVcEov.jpg'}",0,"[{'id': 35, 'name': 'Comedy'}]",,1132450,,['JP'],ja,暴太郎戦隊ドンブラザーズVS暴太郎戦隊ドンブリーズ,"The Avataro Sentai Donburies, which first appeared in Avataro Sentai Donbrothers' press conference gets a TTFC special!",0.9803,/9hiiML3NMC4Qj25V97XEYl7bVKw.jpg,"[{'id': 5822, 'logo_path': '/qyTbRgCyU9NLKvKaiQVbadtr7RY.png', 'name': 'Toei Company', 'origin_country': 'JP'}, {'id': 185154, 'logo_path': '/svoc2heO8CfgGJ76pf6Xec7khNi.png', 'name': 'Toei Tokusatsu Fan Club', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2023-11-05,0,28,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Avataro Sentai Donbrothers vs. Avataro Sentai Donburies,False,5.2,13
False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,829860,,['CN'],zh,"Hunan, l'autre monde d'Avatar","How China's magical Zhangjiajie National Park attracted director James Cameron, who came seeking inspiration for a mysterious fictional planet.",0.246,/aCwF72gto2ADsQK28j7S9tE4xDa.jpg,"[{'id': 85629, 'logo_path': None, 'name': 'Adamis Production', 'origin_country': 'FR'}]","[{'iso_3166_1': 'CN', 'name': 'China'}]",2015-01-01,0,54,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Hunan: The Other World of Avatar,False,4.9,17
False,,,0,"[{'id': 35, 'name': 'Comedy'}]",,926519,tt0476734,['FR'],fr,L'Avatar botanique de mademoiselle Flora,"A young woman lives sadly in a small garrison town with a soldier. Little by little, won over by boredom, sadness, total inaction, she develops a relationship with plants and starts talking to plants.",0.202,/jV7LWoQbwXplgdIbMvT4UB8O1E3.jpg,"[{'id': 745, 'logo_path': None, 'name': 'Les Films de la Pléiade', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",1965-05-05,0,14,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,,The Botanical Avatar of Mademoiselle Flora,False,5.5,26
False,/cd8YDn7M0lfaHhZdU6MvCDxPalP.jpg,"{'id': 87096, 'name': 'Avatar Collection', 'poster_path': '/3C5brXxnBxfkeKWwA1Fh4xvy4wr.jpg', 'backdrop_path': '/6qkJLRCZp9Y3ovXti5tSuhH0DpO.jpg'}",350000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.avatar.com/movies/avatar-the-way-of-water,76600,tt1630029,['US'],en,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",25.5954,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,"[{'id': 127928, 'logo_path': '/h0rjX5vjW5r8yEnUBStFarjcLT4.png', 'name': '20th Century Studios', 'origin_country': 'US'}, {'id': 574, 'logo_path': '/8wdmrfGcDx3TJxYiiDksLzAW4pB.png', 'name': 'Lightstorm Entertainment', 'origin_country': 'US'}, {'id': 22213, 'logo_path': '/qx9K6bFWJupwde0xQDwOvXkOaL8.png', 'name': 'TSG Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2022-12-14,2353096253,192,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Return to Pandora.,Avatar: The Way of Water,False,7.597,13822
False,/7i281eah9lIzBQENBniHtXSAWWm.jpg,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 878, 'name': 'Science Fiction'}]",,100287,tt1613763,['DK'],da,Min Avatar og mig,"is a creative documentary-fiction film and a film that might expand your sense of reality. It is the story about a man who enters the virtual world Second Life to pursue his personal dreams and ambitions. His journey into cyberspace becomes a magic learning experience, which gradually opens the gates to a much larger reality.",0.2863,/dZCj0jiOoDzAzbQM7ryYFEjkjs7.jpg,"[{'id': 118, 'logo_path': '/AiBorgNTCS1lT1FdFPYheax9jfF.png', 'name': 'Det Danske Filminstitut', 'origin_country': 'DK'}]",[],2010-11-10,0,0,"[{'english_name': 'Danish', 'iso_639_1': 'da', 'name': 'Dansk'}]",Released,,My Avatar and Me,False,5.3,23
False,/mljnZyk8gwO2YH9EDC5SMy4XgeP.jpg,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",,1295181,tt0278325,['IT'],it,Avatar,"Based on Théophile Gautier's novel of the same name, the film tells of the tragic love affair of Ottavio de Saville. He falls madly in love with Madame Prascovie Labinska, a woman very faithful to her husband, the Polish count Olaf Labinski. Alarmed by the growing physical and mental weariness of the desperate young man, his relatives and friends decide to turn to Doctor Balthazar, who has just returned from a trip to the Indies where he was initiated into the secrets of Brahman.",1.2811,/nUTlHxnwomoIwojD0AF0OMzkonw.jpg,"[{'id': 12624, 'logo_path': None, 'name': 'Società Italiana Cines', 'origin_country': 'IT'}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",1916-03-06,0,50,"[{'english_name': 'No Language', 'iso_639_1': 'xx', 'name': 'No Language'}]",Released,,Avatar,False,4.971,17
False,/sdZSjtGUTSN8B3al5o0f2WoQfQQ.jpg,"{'id': 87096, 'name': 'Avatar Collection', 'poster_path': '/3C5brXxnBxfkeKWwA1Fh4xvy4wr.jpg', 'backdrop_path': '/6qkJLRCZp9Y3ovXti5tSuhH0DpO.jpg'}",350000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",https://www.avatar.com/movies/avatar-fire-and-ash,83533,tt1757678,['US'],en,Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",102.2688,/bRBeSHfGHwkEpImlhxPmOcUsaeg.jpg,"[{'id': 127928, 'logo_path': '/h0rjX5vjW5r8yEnUBStFarjcLT4.png', 'name': '20th Century Studios', 'origin_country': 'US'}, {'id': 574, 'logo_path': '/8wdmrfGcDx3TJxYiiDksLzAW4pB.png', 'name': 'Lightstorm Entertainment', 'origin_country': 'US'}, {'id': 22213, 'logo_path': '/qx9K6bFWJupwde0xQDwOvXkOaL8.png', 'name': 'TSG Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2025-12-17,1482195377,198,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The world of Pandora will change forever.,Avatar: Fire and Ash,False,7.265,1885
False,/t3nF4oW8GqvsTJlafdxAASKI8YJ.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,1597646,,['US'],en,Avatar: A New Era - Special Edition of 20/20,"An inside look at ""Avatar: Fire and Ash,"" featuring interviews with James Cameron and the cast and creative minds behind the ""Avatar"" phenomenon.",3.4254,/5ANRjyS85pkUYs2b2KoqEDvoYHx.jpg,[],[],2025-12-12,0,41,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Avatar: A New Era - Special Edition of 20/20,False,0.0,0
False,/479lwbWHo18dO5RayDNXSU5J1FL.jpg,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",,613200,tt10736726,['CN'],zh,全职高手之巅峰荣耀,"In this prequel to the animated series The King's Avatar, Ye Xiu enters into the pro gaming world of Glory, and competes in the first Pro League series tournament.",2.7066,/ibaBs2k3I57TIHd6rBOxhWdHmcv.jpg,"[{'id': 192421, 'logo_path': None, 'name': 'Shanghai Yuewen', 'origin_country': 'CN'}, {'id': 115127, 'logo_path': '/lEA4MJ3zsi4RojFvNl4aw6t5okF.png', 'name': 'China Literature', 'origin_country': 'CN'}, {'id': 192426, 'logo_path': '/ux0PrwWFqzjqYx0i2SieggC7ML6.png', 'name': 'Sunac Pictures', 'origin_country': 'CN'}, {'id': 192428, 'logo_path': None, 'name': 'Shanghai Yingjing Culture Media Co., Ltd.', 'origin_country': 'CN'}, {'id': 192429, 'logo_path': None, 'name': 'Horgos Golden Abundant Culture Media Co., Ltd', 'origin_country': 'CN'}, {'id': 146792, 'logo_path': '/uov5NWW2MdHBa0Yw9KcA64VslLv.png', 'name': 'Colored-Pencil Animation Design', 'origin_country': 'CN'}, {'id': 160427, 'logo_path': None, 'name': 'Shanghai Kuanyu Digital Technology Co., Ltd.', 'origin_country': 'CN'}, {'id': 78952, 'logo_path': '/zRBHUxapVA1FLR3dSa0xcLvzn1D.png', 'name': 'Wanda Pictures 万达影业', 'origin_country': 'CN'}]","[{'iso_3166_1': 'CN', 'name': 'China'}]",2019-08-16,11903801,98,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,The King's Avatar: For the Glory,False,6.5,71
False,,"{'id': 87096, 'name': 'Avatar Collection', 'poster_path': '/3C5brXxnBxfkeKWwA1Fh4xvy4wr.jpg', 'backdrop_path': '/6qkJLRCZp9Y3ovXti5tSuhH0DpO.jpg'}",0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",https://www.avatar.com/movies,216527,tt3095356,['US'],en,Avatar 4,The fourth installment of the franchise. Plot TBA.,3.5794,/qzMYKnT4MG1d0gnhwytr4cKhUvS.jpg,"[{'id': 127928, 'logo_path': '/h0rjX5vjW5r8yEnUBStFarjcLT4.png', 'name': '20th Century Studios', 'origin_country': 'US'}, {'id': 574, 'logo_path': '/8wdmrfGcDx3TJxYiiDksLzAW4pB.png', 'name': 'Lightstorm Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2029-12-19,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Planned,,Avatar 4,False,0.0,0
False,/agnESua8QxISkOERvs7td6BAesa.jpg,"{'id': 803526, 'name': 'Super Sentai Collection', 'poster_path': '/bHLoxIn669Cy8OmACTGZfpSvxBo.jpg', 'backdrop_path': '/vrEC5q3VxEDhnyJCmtk3fxVcEov.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.toei-video.co.jp/vcinext-donzenkai/,1092060,tt26920166,['JP'],ja,暴太郎戦隊ドンブラザーズVSゼンカイジャー,"Divided into three acts, the first act is about the Zenkaigers dealing with a new Kashiwa Mochi World and Zocks declares himself as ""Kashiwa Mochi King"", the ruler of Zenkaitopia?! In the second act, it's been a year since Taro left and the five companions continue to fight as a team with Jiro as their leader. Taro later regains his memories, only for his companions to ask him to leave the Donbrothers. In the final act, an incident caused the two worlds to connect, thus a full-throttle miracle battle between the two Super Sentai begins!",1.5779,/aytVlwmwwdyl9UksAZInDwR7jhk.jpg,"[{'id': 5822, 'logo_path': '/qyTbRgCyU9NLKvKaiQVbadtr7RY.png', 'name': 'Toei Company', 'origin_country': 'JP'}, {'id': 9221, 'logo_path': '/7hEAueutGnsQUyUGnp5zQ1YmCrO.png', 'name': 'Toei Video Company', 'origin_country': 'JP'}, {'id': 5671, 'logo_path': '/e2wUkVLLcru3UKXzLtPtfjIIvQp.png', 'name': 'Ishimori Production', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2023-05-03,0,60,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Avataro Sentai Donbrothers vs. Zenkaiger,False,4.7,29
False,/1T4sqygTH5SYzU5DtmI5K9ep2eP.jpg,"{'id': 803526, 'name': 'Super Sentai Collection', 'poster_path': '/bHLoxIn669Cy8OmACTGZfpSvxBo.jpg', 'backdrop_path': '/vrEC5q3VxEDhnyJCmtk3fxVcEov.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",https://www.revice-donbro-22movie.com/,937315,tt18347074,['JP'],ja,暴太郎戦隊ドンブラザーズ THE MOVIE 新・初恋ヒーロー,"The Donbrothers are offered to appear in a movie based on Haruka's debut manga, which she allegedly plagiarized, First Love Hero by talented producer Reiko Mieda! She can't hide that she is upset about the offer. Will the plagiarism be revealed? That said, shooting for the movie is a mess and the Noto even got parts! What is happening with the movie's shooting?! ​",3.3985,/8MacEBNLdMnmroPAx6LNmi6oJaj.jpg,"[{'id': 5822, 'logo_path': '/qyTbRgCyU9NLKvKaiQVbadtr7RY.png', 'name': 'Toei Company', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2022-07-22,0,33,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Avataro Sentai Donbrothers The Movie: New First Love Hero,False,6.3,14
False,/uEwGFGtao9YG2JolmdvtHLLVbA9.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,111332,tt1599280,['US'],en,Avatar: Creating the World of Pandora,The Making-of James Cameron's Avatar. It shows interesting parts of the work on the set.,2.6146,/d9oqcfeCyc3zmMal6eJbfj3gatc.jpg,"[{'id': 574, 'logo_path': '/8wdmrfGcDx3TJxYiiDksLzAW4pB.png', 'name': 'Lightstorm Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-02-07,0,23,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Avatar: Creating the World of Pandora,False,6.396,173
False,,,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",,1609324,,['US'],en,Avatar,"A young boy discovers a place where his simple homemade kites are transformed into huge, beautiful ones which he could not have built himself",0.0811,,"[{'id': 253048, 'logo_path': None, 'name': 'David Ullendorff Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1982-05-01,0,18,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Video Unavailable,Avatar,False,0.0,0
False,,,0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 10770, 'name': 'TV Movie'}]",,1544429,tt0959431,['FR'],fr,Avatar,"Hopelessly in love, young aristocrat Octave seeks the help of a magician to exchange bodies with his beloved's husband. But his inability to speak her native language soon estranges him from 'his' wife, while the real husband, stuck in Octave's body, is out for revenge. Based on a story by Théophile Gautier.",0.5822,,[],"[{'iso_3166_1': 'FR', 'name': 'France'}]",1964-07-22,0,68,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Avatar,False,0.0,0
False,/tdy3P7dCCmSaTJNfmE8fdvhnnYK.jpg,,0,"[{'id': 878, 'name': 'Science Fiction'}]",,981616,,['JP'],ja,ギャルアバター,"An ordinary high school student– with an incontinent grandmother and extremely horny dad, are visited by an extremely pretty avatar to preform a “mind transfer” on Grandma. But before too long, Dad’s sniffing round to get it on with the great-shaped avatar.",0.6946,/9ItW3uf0U2OatKb60VAqu6FrbJh.jpg,[],"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2010-01-01,0,71,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Gal Avatar,False,4.5,18
