question,vote,tag
"What does the ""yield"" keyword do in Python?",13130,python/iterator/generator/yield
"What does if __name__ == ""__main__"": do?",8436,python/namespaces/program-entry-point/python-module/idioms
Does Python have a ternary conditional operator?,8124,python/operators/conditional-operator
What are metaclasses in Python?,7528,python/oop/metaclass/python-class/python-datamodel
How do I check whether a file exists without exceptions?,7344,python/file/file-exists
How do I merge two dictionaries in a single expression in Python?,7125,python/dictionary/merge
How do I execute a program or call a system command?,6290,python/shell/terminal/subprocess/command
"How do I create a directory, and any missing parent directories?",5818,python/exception/path/directory/operating-system
How can I access the index value in a 'for' loop?,5672,python/loops/list
How do I make a flat list out of a list of lists?,5511,python/list/multidimensional-array/flatten
What is the difference between @staticmethod and @classmethod in Python?,4792,python/oop/static-methods/python-decorators/class-method
How slicing in Python works,4706,python/slice/sequence
How can I find the index for a given item in a list?,4487,python/list/indexing
"Iterating over a dictionary using a 'for' loop, getting keys",4426,python/loops/dictionary/key
How can I iterate over rows in a Pandas DataFrame?,4249,python/pandas/dataframe/loops
How can I use a global variable in a function?,4047,python/global-variables/scope
How do I get the current time in Python?,3995,python/datetime/time
"How can I catch multiple exceptions in one line? (in the ""except"" block)",3962,python/exception
How do I copy a file?,3947,python/file/copy/filesystems/file-copying
What is __init__.py for?,3928,python/module/package/python-packaging
Convert bytes to a string in Python 3,3886,python/string/python-3.x
What is the difference between __str__ and __repr__?,3834,python/magic-methods/repr
How do I select rows from a DataFrame based on column values?,3633,python/pandas/dataframe/indexing/filter
How can I add new keys to a dictionary?,3600,python/dictionary/key/lookup
Does Python have a string 'contains' substring method?,3585,python/string/substring/contains
How can I delete a file or folder in Python?,3549,python/file-io/directory/delete-file
"""Least Astonishment"" and the Mutable Default Argument",3510,python/language-design/default-parameters/least-astonishment
What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,3499,python/syntax/parameter-passing/variadic-functions/argument-unpacking
How can I access environment variables in Python?,3465,python/environment-variables
How do I list all files of a directory?,3464,python/directory
How do I sort a dictionary by value?,3413,python/sorting/dictionary
How do I clone a list so that it doesn't change unexpectedly after assignment?,3370,python/list/clone/mutable
How do I pass a variable by reference?,3363,python/reference/parameter-passing/pass-by-reference
How do I print colored text to the terminal?,3325,python/terminal/output/ansi-colors
Manually raising (throwing) an exception in Python,3318,python/exception
Understanding Python super() with __init__() methods [duplicate],3298,python/class/oop/inheritance/super
How do I make a time delay? [duplicate],3285,python/delay/sleep/timedelay
How do I change the size of figures drawn with Matplotlib?,3264,python/pandas/matplotlib/seaborn/figsize
How do I concatenate two lists in Python?,3238,python/list/concatenation
How do I check if a list is empty?,3222,python/list
How do I make function decorators and chain them together?,3201,python/function/decorator/python-decorators/chain
How do I split a list into equally-sized chunks?,3176,python/list/split/chunks
Find the current directory and file's directory [duplicate],3140,python/directory
What is the difference between Python's list methods append and extend?,3109,python/list/data-structures/append/extend
Renaming column names in Pandas,3074,python/pandas/replace/dataframe/rename
"Why is ""1000000000000000 in range(1000000000000001)"" so fast in Python 3?",3069,python/performance/python-3.x/range/python-internals
How can I remove a key from a Python dictionary?,3018,python/dictionary/unset
"Convert string ""Jun 1 2005 1:33PM"" into datetime",3004,python/datetime/type-conversion
How to upgrade all Python packages with pip,2889,python/pip/pypi
How can I sort a list of dictionaries by a value of the dictionary in Python?,2856,python/list/sorting/dictionary/data-structures
How to leave/exit/deactivate a Python virtualenv,2848,python/virtualenv/exit/virtualenvwrapper
How do I get the last element of a list? [closed],2811,python/list/indexing
How do I parse a string to a float or int?,2782,python/parsing/floating-point/type-conversion/integer
How do I install pip on Windows?,2778,python/windows/pip
How do I get a substring of a string in Python? [duplicate],2728,python/string/substring
How do I escape curly-brace ({}) characters characters in a string while using .format?,2717,python/string/format/string-formatting/curly-braces
Check if a given key already exists in a dictionary,2675,python/dictionary
Importing files from different folder,2666,python/importerror/python-import
Class (static) variables and methods,2633,python/class/static/class-variables
How do I lowercase a string in Python?,2585,python/string/uppercase/lowercase
How can I check if an object has an attribute?,2536,python/class/object/attributes/attributeerror
How to print without a newline or space,2523,python/trailing-newline
Calling a function of a module by using its name (a string),2495,python/object/reflection
Limiting floats to two decimal points,2460,python/floating-point/rounding/precision
How can I randomly select (choose) an item from a list (get a random element)?,2440,python/list/random
How to remove an element from a list by index,2347,python/list/indexing
Delete a column from a Pandas DataFrame,2338,python/pandas/dataframe/del
How do I get the number of elements in a list (length of a list) in Python?,2304,python/list
"What is the difference between venv, pyvenv, pyenv, virtualenv, virtualenvwrapper, pipenv, etc?",2269,python/virtualenv/virtualenvwrapper/pyenv/python-venv
How do I pad a string with zeros?,2259,python/string/zero-padding
How can I determine a Python variable's type?,2252,python/types
Delete an element from a dictionary,2247,python/dictionary/del
How to check if the string is empty in Python?,2227,python/string/boolean/is-empty/comparison-operators
Determine the type of an object? [duplicate],2227,python/dictionary/types/typeof
How do I count the occurrences of a list item?,2226,python/list/count
Why is reading lines from stdin much slower in C++ than Python?,2203,python/c++/benchmarking/iostream/getline
How do I measure elapsed time in Python?,2200,python/performance/measure/timeit
Why is it string.join(list) instead of list.join(string)?,2167,python/string/list
How do I append to a file?,2137,python/file/append
Is there a way to run Python on Android?,2083,android/python/jython/ase/android-scripting
How can I remove a trailing newline?,2078,python/newline/trailing
Static methods in Python?,2073,python/static-methods
Installing specific package version with pip,2070,python/mysql/pip/pypi/mysql-python
How do I split the definition of a long string over multiple lines?,2069,python/string/multiline/multilinestring
How to prettyprint a JSON file?,2057,python/json/formatting/pretty-print
How do I get the row count of a Pandas DataFrame?,2039,python/pandas/dataframe
Getting the class name of an instance,2033,python/introspection/instanceof/python-datamodel
How do I check if a string represents a number (float or int)?,2024,python/casting/floating-point/type-conversion/integer
How to read a file line-by-line into a list?,2023,python/string/file/readlines
What's the canonical way to check for type in Python?,2020,python/types
Meaning of @classmethod and @staticmethod for a beginner [duplicate],2011,python/oop/static-methods/class-method
How can I install packages using pip according to the requirements.txt file from a local directory?,1995,python/pip/virtualenv/requirements.txt
How do I declare custom exceptions in modern Python?,1967,python/python-3.x/exception/python-dataclasses/pep352
fatal error: Python.h: No such file or directory,1943,python/gcc/python-c-api
Generate random integers between 0 and 9,1931,python/random/integer
What is the meaning of single and double underscore before an object name?,1921,python/oop/naming-conventions/identifier
Relative imports for the billionth time,1902,python/python-import/relative-path/python-packaging/relative-import
Relative imports in Python 3,1887,python/python-3.x/python-import
How do I write JSON data to a file?,1884,python/json
Use different Python version with virtualenv,1882,python/virtualenv/virtualenvwrapper
Extracting extension from filename,1877,python/filenames/file-extension
How can I import a module dynamically given the full path?,1875,python/python-import/python-module
How do I get time of a Python program's execution?,1832,python/time/execution-time
How do I print to stderr in Python?,1819,python/printing/stderr
Random string generation with upper case letters and digits,1817,python/string/random
What is the best way of implementing a singleton in Python? [closed],1811,python/singleton/decorator/base-class/metaclass
How do I read from stdin?,1810,python/stdin
Save plot to image file instead of displaying it,1807,python/matplotlib/savefig
What does __all__ mean in Python?,1801,python/syntax/namespaces/python-import
Selecting multiple columns in a Pandas dataframe,1801,python/pandas/dataframe/select/indexing
Make a dictionary (dict) from separate lists of keys and values,1796,python/list/dictionary/key
How do I get the filename without the extension from a path in Python?,1791,python/string/path
How do I profile a Python script?,1759,python/performance/optimization/time-complexity/profiling
if/else in a list comprehension,1746,python/list/if-statement/list-comprehension
How to check for NaN values,1727,python/math/nan
How to put the legend outside the plot,1725,python/matplotlib/seaborn/legend
Why do Python classes inherit object?,1717,python/class/oop/object/inheritance
Replacements for switch statement in Python?,1716,python/switch-statement
How do I reverse a string in Python?,1713,python/string
How to change the order of DataFrame columns?,1684,python/pandas/dataframe/sorting/indexing
How do I check if a directory exists in Python?,1679,python/directory
How do I install pip on macOS or OS X?,1671,python/macos/pip/installation
What is setup.py?,1657,python/pypi/setup.py/python-packaging
"What is the Python 3 equivalent of ""python -m SimpleHTTPServer""",1653,python/python-3.x/httpserver/simplehttpserver
How can I flush the output of the print function?,1640,python/printing/flush/output-buffering
Catch and print full Python exception traceback without halting/exiting the program,1621,python/exception/try-catch/traceback
Create a dictionary with comprehension,1613,python/dictionary/list-comprehension/dictionary-comprehension
pg_config executable not found,1607,python/pip/psycopg2
Use of *args and **kwargs [duplicate],1597,python/args/keyword-argument
Convert integer to string in Python,1595,python/string/integer
How do I sort a dictionary by key?,1584,python/sorting/dictionary
Change column type in pandas,1583,python/pandas/dataframe/types/type-conversion
What are the differences between type() and isinstance()? [duplicate],1577,python/oop/inheritance/types
How to copy a dictionary and only edit the copy,1549,python/dictionary/reference
How to convert string to bytes in Python 3,1538,python/string/character-encoding/python-3.x
Is there a built-in function to print all the current properties and values of an object?,1536,python/debugging/introspection/pretty-print/python-datamodel
How do I move a file in Python?,1534,python/file/file-handling/python-os
"What is the use of ""assert"" in Python?",1525,python/exception/assert/assertion
How do I use threading in Python?,1524,python/multithreading/concurrency/python-multithreading
Removing duplicates in lists,1519,python/algorithm/list/duplicates/intersection
UnicodeEncodeError: 'ascii' codec can't encode character u'\xa0' in position 20: ordinal not in range(128),1518,python/unicode/beautifulsoup/python-2.x/python-unicode
How do I print an exception in Python? [duplicate],1517,python/exception/error-handling
How do I get the full path of the current file's directory? [duplicate],1516,python/directory
How to make a class JSON serializable,1513,python/json/serialization
Null object in Python,1513,python/object/null
Automatically create file 'requirements.txt',1512,python/dependencies/python-import/requirements.txt
How do I check which version of Python is running my script?,1504,python/version
Why can't Python parse this JSON data? [closed],1503,python/json/parsing
How to deal with SettingWithCopyWarning in Pandas,1494,python/pandas/dataframe/chained-assignment/pandas-settingwithcopy-warning
"How can I overcome ""datetime.datetime not JSON serializable""?",1492,python/json
Running shell command and capturing the output,1490,python/shell/subprocess
How do I find the location of my Python site-packages directory?,1482,python
How do I create multiline comments in Python?,1479,python/comments/documentation
How to drop rows of Pandas DataFrame whose value in a certain column is NaN,1477,python/pandas/dataframe/indexing/nan
Display number with leading zeros [duplicate],1476,python/integer/string-formatting
Getting key with maximum value in dictionary?,1472,python/dictionary/max
Python: how to determine if an object is iterable?,1469,python/iterable
String formatting: % vs. .format vs. f-string literal,1469,python/performance/string-formatting/f-string
What does the 'b' character do in front of a string literal?,1466,python/string/unicode/binary
How do I create a constant in Python?,1454,python/constants
How do I terminate a script?,1442,python/termination
Create a Pandas Dataframe by appending one row at a time [duplicate],1428,python/pandas/dataframe/append
How does the @property decorator work in Python?,1428,python/properties/decorator/python-decorators/python-internals
What is the difference between null=True and blank=True in Django?,1427,python/django/django-models/django-admin
How do I check if a variable exists?,1426,python/exception/variables
How can I do a line break (line continuation) in Python (split up a long line of source code)?,1417,python/syntax/line-breaks/long-lines
Hidden features of Python [closed],1414,python/hidden-features
How do I remove all packages installed by pip?,1413,python/pip/virtualenv/python-packaging
How do I reverse a list or loop over it backwards?,1411,python/list/reverse
How can I read a text file into a string variable and strip newlines?,1411,python/string
What is a mixin and why is it useful?,1410,python/oop/multiple-inheritance/mixins/python-class
Putting a simple if-then-else statement on one line [duplicate],1405,python/if-statement/syntax/conditional-operator
Get a list from Pandas DataFrame column headers,1395,python/pandas/dataframe/list/header
Correct way to write line to file?,1392,python/file-io
Use a list of values to select rows from a Pandas dataframe,1391,python/pandas/dataframe/indexing/filter
"Why do people write ""#!/usr/bin/env python"" on the first line of a Python script?",1391,python/shell/shebang
"Extract file name from path, no matter what the os/path format",1389,python/path
How does Python's super() work with multiple inheritance?,1387,python/multiple-inheritance
How do I type hint a method with the type of the enclosing class?,1384,python/pycharm/python-typing
How do I trim whitespace from a string?,1383,python/string/trim
How do I return dictionary keys as a list in Python?,1381,python/python-3.x/list/dictionary
How do I get file creation and modification date/times?,1376,python/file
How to get the ASCII value of a character,1366,python/ascii
"If Python is interpreted, what are .pyc files?",1363,python/compiled/interpreted-language/pyc
What is the purpose of the `self` parameter? Why is it needed?,1360,python/class/oop/self
Converting from a string to boolean in Python,1358,python/string/boolean
Count the number of occurrences of a character in a string,1358,python/string/count
How to add a new column to an existing DataFrame,1343,python/pandas/dataframe/chained-assignment
How to create a GUID/UUID in Python,1343,python/uuid/guid/uniqueidentifier
Why does comparing strings using either '==' or 'is' sometimes produce a different result? [duplicate],1333,python/string/comparison/identity/equality
How do I get a list of locally installed Python modules?,1326,python/module/pip
How to get the line count of a large file cheaply in Python,1323,python/text-files/line-count
Maximum and Minimum values for ints,1321,python/integer
How to set environment variables in Python?,1319,python/environment-variables
How do I import other Python files?,1316,python/import/python-import/python-module/python-packaging
How to print a number using commas as thousands separators,1310,python/number-formatting
How do I install a Python package with a .whl file?,1308,python/pip/python-wheel
How do I iterate through two lists in parallel?,1307,python/list/for-loop/iterator
Get the data received in a Flask request,1303,python/flask/werkzeug
Usage of __slots__?,1301,python/oop/python-internals/slots
"Should I put #! (shebang) in Python scripts, and what form should it take?",1295,python/shell/python-3.x/shebang
Fastest way to check if a value exists in a list,1290,python/list/performance/membership
How do I sort a list of objects based on an attribute of the objects?,1290,python/list/sorting/reverse
How do I connect to a MySQL Database in Python?,1290,python/mysql
Remove all whitespace in a string,1283,python/string/trim/removing-whitespace
How do you test that a Python function throws an exception?,1276,python/unit-testing/exception
Get difference between two lists with Unique Entries,1270,python/performance/list/set/set-difference
Pretty-print an entire Pandas Series / DataFrame,1265,python/pandas/dataframe
How to concatenate (join) items in a list to a single string [duplicate],1261,python/string/list/concatenation
What is a cross-platform way to get the home directory?,1258,python/cross-platform/home-directory
"What are ""named tuples"" in Python?",1255,python/types/tuples/terminology/namedtuple
How to convert list to string [duplicate],1254,python/string/list/join
How do I trim whitespace?,1254,python/string/whitespace/trim/strip
Get unique values from a list in python [duplicate],1250,python/list
Find which version of package is installed with pip,1243,python/pip
Alternatives for returning multiple values from a Python function [closed],1236,python/return/return-value
pip install from git repo branch,1231,python/git/pip
How to subtract a day from a date?,1225,python/date/datetime/timedelta
Has Django served an excess of 100k daily visits? [closed],1225,python/django/web-applications/scalability
Convert a String representation of a Dictionary to a dictionary,1220,python/string/dictionary/type-conversion
Is there a simple way to delete a list element by value?,1217,python/list
Convert list of dictionaries to a pandas DataFrame,1215,python/dictionary/pandas/dataframe
"Difference between del, remove, and pop on lists in Python",1213,python/list
How do I check file size in Python?,1208,python/file
How can I write a `try`/`except` block that catches all exceptions?,1207,python/exception
"""Large data"" workflows using pandas [closed]",1190,python/mongodb/pandas/hdf5/large-data
Checking whether a variable is an integer or not [duplicate],1188,python/integer
How to download a file over HTTP?,1181,python/http/urllib
Why dict.get(key) instead of dict[key]?,1180,python/dictionary/lookup
Parsing boolean values with argparse,1176,python/boolean/argparse/command-line-arguments
How can I parse XML and get instances of a particular node attribute?,1170,python/xml
List comprehension vs. lambda + filter [closed],1168,python/list/functional-programming/filter/lambda
Writing a pandas DataFrame to CSV file,1167,python/pandas/dataframe/csv/file-io
Converting Unix timestamp string to readable date,1164,python/datetime/unix-timestamp/strftime
Importing modules from parent folder,1164,python/module/path/directory/python-import
What's the difference between lists and tuples?,1164,python/list/tuples
How can I make a Python script standalone executable to run without any dependency? [duplicate],1163,python/executable
How can I parse a YAML file in Python,1161,python/yaml
How to retrieve a module's path?,1155,python/module/inotify
UnicodeDecodeError: 'charmap' codec can't decode byte X in position Y: character maps to <undefined>,1153,python/python-3.x/unicode/file-io/decode
How do I unload (reload) a Python module?,1149,python/module/reload/python-import
What is __pycache__?,1147,python/python-3.x/caching
How do I remove/delete/replace a folder that is not empty?,1144,python/file
How do I check the versions of Python modules?,1143,python
How can I represent an 'Enum' in Python?,1140,python/python-3.x/enums
Should I use 'has_key()' or 'in' on Python dicts? [duplicate],1136,python/dictionary
What are the most common Python docstring formats? [closed],1135,python/coding-style/documentation/docstring
What is the difference between pip and Conda?,1135,python/pip/ipython/package-managers/conda
What is the naming convention in Python for variables and functions?,1133,python/naming-conventions/camelcasing/pascalcasing/snakecasing
What is the difference between old style and new style classes in Python?,1132,python/class/oop/types/new-style-class
